car_brand,car_brand_id,car_model,car_model_id,Year,average_price,count,percentile_0,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_100,lower_bound,upper_bound
acura,2008,mdx,3189,2015,4292.857142857,7,3900,3960,4000,4000,4100,4250,4400,4500,4500,4660,4900,3863.571428571,4722.142857143
acura,2008,mdx,3189,2016,5000,3,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,4500,5500
acura,2008,mdx,3189,2017,5239.086956522,23,3900,4200,4580,4800,4850,4850,5139.2,6000,6300,6420,6500,4715.17826087,5762.995652174
acura,2008,mdx,3189,2018,6076.166666667,42,3950,4630,5300,5700,5740,6075,6500,6870,6900,7390,7450,5468.55,6683.783333333
acura,2008,mdx,3189,2019,6838.64516129,31,4000,5600,5900,5900,6700,6900,7100,7400,7999,8400,8750,6154.780645161,7522.509677419
acura,2008,mdx,3189,2020,8051.086956522,46,4950,6950,7700,7800,7900,8100,8700,8700,8700,8900,8900,7245.97826087,8856.195652174
acura,2008,mdx,3189,2022,10932.294117647,17,8600,9520,10260,10660,10900,10900,11230,11500,11899.2,12200,12500,9839.064705882,12025.523529412
acura,2008,mdx,3189,2023,12500,4,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,11250,13750
acura,2008,rdx,3187,2018,5366.666666667,3,4900,4960,5020,5080,5140,5200,5360,5520,5680,5840,6000,4830,5903.333333333
acura,2008,rdx,3187,2019,5969.230769231,39,4950,5300,5450,5720,5800,5800,5900,6000,6600,6780,8050,5372.307692308,6566.153846154
acura,2008,rdx,3187,2020,7056.333333333,63,5400,6000,6000,6620,6900,7000,7250,7600,7900,8200,8500,6350.7,7761.966666667
acura,2008,rdx,3187,2021,8179.411764706,17,6700,7680,8250,8250,8250,8250,8250,8340,8500,8570,8600,7361.470588235,8997.352941176
acura,2008,rdx,3187,2022,7450,2,7200,7250,7300,7350,7400,7450,7500,7550,7600,7650,7700,6705,8195
acura,2008,rdx,3187,2023,8500,1,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,7650,9350
acura,2008,tlx,3183,2015,2687.5,20,2000,2000,2320,2525,2750,2750,2750,2830,2960,3210,3450,2418.75,2956.25
acura,2008,tlx,3183,2018,3628.571428571,7,2400,2700,3080,3620,3800,3800,3800,3820,3880,4260,4800,3265.714285714,3991.428571429
acura,2008,tlx,3183,2019,4997.428571429,21,4000,4100,4200,4650,4750,4999,4999,5700,5850,5850,6000,4497.685714286,5497.171428571
acura,2008,tlx,3183,2020,5754.714285714,7,3333,4333.2,5190,5760,6170,6500,6500,6500,6500,6500,6500,5179.242857143,6330.185714286
acura,2008,tlx,3183,2021,7000,2,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,6300,7700
acura,2008,tlx,3183,2022,8100,7,7000,7360,7700,8000,8100,8100,8340,8540,8660,8700,8700,7290,8910
acura,2008,tlx,3183,2023,7700,1,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,6930,8470
acura,2008,tlx,3183,2024,8700,2,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,7830,9570
alfa romeo,2009,giulia,3190,2016,2350,1,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2115,2585
alfa romeo,2009,giulia,3190,2018,8500,1,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,7650,9350
alfa romeo,2009,giulia,3190,2019,5853.125,16,4600,4900,4900,4900,5900,6125,6400,6500,6600,6750,6900,5267.8125,6438.4375
alfa romeo,2009,giulia,3190,2020,3500,1,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3150,3850
alfa romeo,2009,giulia,3190,2022,8350,2,8350,8350,8350,8350,8350,8350,8350,8350,8350,8350,8350,7515,9185
alfa romeo,2009,other models,3192,1999,883.333333333,3,850,850,850,850,850,850,870,890,910,930,950,795,971.666666667
alfa romeo,2009,other models,3192,2011,1100,1,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,990,1210
alfa romeo,2009,other models,3192,2012,1200,5,1000,1100,1200,1250,1250,1250,1250,1250,1250,1250,1250,1080,1320
alfa romeo,2009,other models,3192,2013,1300,1,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1170,1430
alfa romeo,2009,other models,3192,2015,14000,1,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,12600,15400
alfa romeo,2009,other models,3192,2016,2300,1,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2070,2530
alfa romeo,2009,other models,3192,2017,2966.666666667,3,2500,2600,2700,2800,2900,3000,3080,3160,3240,3320,3400,2670,3263.333333333
alfa romeo,2009,other models,3192,2018,2700,1,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2430,2970
alfa romeo,2009,other models,3192,2019,4500,1,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4050,4950
alfa romeo,2009,other models,3192,2021,6720,40,5200,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6048,7392
alfa romeo,2009,stelvio,3191,2018,6450,15,4900,5840,5900,6750,6750,6750,6750,6750,6750,6750,6750,5805,7095
alfa romeo,2009,stelvio,3191,2019,6275,2,4950,5215,5480,5745,6010,6275,6540,6805,7070,7335,7600,5647.5,6902.5
alfa romeo,2009,stelvio,3191,2022,10650,12,6000,7935,10950,10950,10950,11200,11480,11570,11880,11950,11950,9585,11715
aston martin,2142,db11,3077,2017,32850,6,31300,31650,32000,32450,32900,32900,32900,32950,33000,34000,35000,29565,36135
aston martin,2142,db11,3077,2018,28000,1,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,25200,30800
aston martin,2142,db9,2143,2006,6600,12,6200,6205,6250,6385,6740,6800,6800,6800,6800,6800,6800,5940,7260
aston martin,2142,db9,2143,2008,6380,5,4900,5140,5380,5500,5500,5500,6500,7500,8000,8000,8000,5742,7018
aston martin,2142,dbx,3075,2021,22000,2,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,19800,24200
aston martin,2142,other models,2242,1997,11200,4,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,10080,12320
aston martin,2142,rapide,2147,2011,9166.666666667,3,7400,7880,8360,8840,9320,9800,9900,10000,10100,10200,10300,8250,10083.333333333
aston martin,2142,rapide,2147,2012,13000,1,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,11700,14300
aston martin,2142,rapide,2147,2015,14187.5,8,12500,12780,12900,12900,12900,12900,13560,15870,16200,16440,17000,12768.75,15606.25
aston martin,2142,rapide,2147,2016,16266.666666667,3,15000,15380,15760,16140,16520,16900,16900,16900,16900,16900,16900,14640,17893.333333333
aston martin,2142,vanquish,2145,2013,24960,15,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,25800,22464,27456
aston martin,2142,vanquish,2145,2014,37000,3,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,33300,40700
aston martin,2142,vanquish,2145,2015,28900,3,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,26010,31790
aston martin,2142,vantage,2144,2008,7800,1,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7020,8580
aston martin,2142,vantage,2144,2012,7900,2,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7110,8690
aston martin,2142,vantage,2144,2013,12550,5,8500,8820,9140,9390,9570,9750,10050,10350,13340,19020,24700,11295,13805
aston martin,2142,vantage,2144,2014,9257.142857143,7,8700,8700,8700,8700,8700,8700,9180,9500,9500,10100,11000,8331.428571429,10182.857142857
aston martin,2142,vantage,2144,2015,10516.666666667,6,9500,9500,9500,9700,9900,10300,10700,10850,11000,11750,12500,9465,11568.333333333
audi,112,a1,1881,2012,2528.571428571,7,2400,2400,2400,2400,2400,2400,2520,2600,2600,2720,2900,2275.714285714,2781.428571429
audi,112,a1,1881,2014,2000,1,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,2200
audi,112,a3,1875,2015,2619.387755102,49,2100,2250,2380,2470,2500,2600,2600,2680,2840,3200,3500,2357.448979592,2881.326530612
audi,112,a3,1875,2016,3169.230769231,13,2200,2340,2660,2900,2900,3000,3160,3440,3500,3580,5400,2852.307692308,3486.153846154
audi,112,a3,1875,2017,3846.428571429,14,2500,3300,3390,3585,3640,3800,3960,4020,4200,4270,5800,3461.785714286,4231.071428571
audi,112,a3,1875,2018,4250,12,3350,3900,3900,3915,3970,4150,4420,4570,4760,4890,4900,3825,4675
audi,112,a3,1875,2019,5216.666666667,15,4500,4860,4950,4960,5000,5200,5280,5480,5700,5700,5700,4695,5738.333333333
audi,112,a3,1875,2020,6412.5,4,6000,6060,6120,6180,6260,6350,6440,6545,6680,6815,6950,5771.25,7053.75
audi,112,a3,1875,2023,10895.36,25,9999,9999,9999,9999,10200,10999,10999,10999,11100,13000,13000,9805.824,11984.896
audi,112,a3,1875,2024,10283.333333333,3,9400,9470,9540,9610,9680,9750,10140,10530,10920,11310,11700,9255,11311.666666667
audi,112,a4,1876,2005,1200,4,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1080,1320
audi,112,a4,1876,2006,975,2,900,915,930,945,960,975,990,1005,1020,1035,1050,877.5,1072.5
audi,112,a4,1876,2008,900,2,850,860,870,880,890,900,910,920,930,940,950,810,990
audi,112,a4,1876,2009,850,1,850,850,850,850,850,850,850,850,850,850,850,765,935
audi,112,a4,1876,2010,940,5,850,850,850,860,880,900,940,980,1020,1060,1100,846,1034
audi,112,a4,1876,2011,1241.666666667,6,1100,1175,1250,1250,1250,1250,1250,1250,1250,1300,1350,1117.5,1365.833333333
audi,112,a4,1876,2012,1950,6,1650,1650,1650,1650,1650,1950,2250,2250,2250,2250,2250,1755,2145
audi,112,a4,1876,2013,1716.666666667,9,1000,1160,1530,1790,1850,1850,1890,1900,1940,2000,2000,1545,1888.333333333
audi,112,a4,1876,2014,1986.666666667,15,1450,1560,1690,1760,1800,1900,1900,2180,2270,2500,3000,1788,2185.333333333
audi,112,a4,1876,2016,3600,1,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3240,3960
audi,112,a4,1876,2017,3300,2,3100,3140,3180,3220,3260,3300,3340,3380,3420,3460,3500,2970,3630
audi,112,a4,1876,2018,5025,4,4700,4700,4700,4700,4800,4950,5100,5230,5320,5410,5500,4522.5,5527.5
audi,112,a4,1876,2019,5487.913793103,58,4999,5200,5200,5200,5200,5200,5200,5200,5200,6800,7700,4939.122413793,6036.705172414
audi,112,a4,1876,2021,8055.555555556,9,7500,7500,7500,7700,8000,8000,8400,8500,8500,8500,8500,7250,8861.111111111
